Date,Time,Average Temp,Average Light,Average Sound,CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count,IsOccupied
12/22/2017,10:49:41,24.9075,62,0.0975,0.769230769,0,0,1,1
12/22/2017,10:50:12,24.9225,61.75,0.275,0.646153846,0,0,1,1
12/22/2017,10:50:42,24.9225,62,0.17,0.519230769,0,0,1,1
12/22/2017,10:51:13,24.9375,62,0.175,0.388461538,0,0,1,1
12/22/2017,10:51:44,24.9375,62.25,0.09,0.253846154,0,0,1,1
12/22/2017,10:52:14,24.9525,62.25,0.08,0.165384615,0,0,1,1
12/22/2017,10:52:45,24.9375,62,0.55,0.076923077,1,0,1,1
12/22/2017,10:53:15,24.9525,62.5,0.0725,-0.011538462,0,0,1,1
12/22/2017,10:53:46,24.9675,64,0.0825,-0.1,0,0,1,1
12/22/2017,10:54:17,24.9675,58.75,1.3375,-0.188461538,1,1,1,1
12/22/2017,10:54:47,24.9675,64.25,0.7625,-0.276923077,1,1,1,1
12/22/2017,10:55:18,24.9825,64.75,0.195,-0.365384615,1,0,1,1
12/22/2017,10:55:49,25.0175,64.5,0.1225,-0.453846154,1,0,1,1
12/22/2017,10:56:19,25.015,64.75,0.52,-0.542307692,1,0,1,1
12/22/2017,10:56:50,25.0325,65,0.27,-0.630769231,1,0,1,1
12/22/2017,10:57:21,25.0325,65,0.13,-0.719230769,1,0,1,1
12/22/2017,10:57:51,25.0325,64.75,0.11,-0.711538462,0,0,1,1
12/22/2017,10:58:22,25.015,64.5,0.11,-0.653846154,1,0,1,1
12/22/2017,10:58:52,25.015,65,0.11,-0.542307692,1,0,1,1
12/22/2017,10:59:23,25.0175,65.25,0.0775,-0.373076923,0,0,1,1
12/22/2017,10:59:54,25.035,65,0.0725,-0.238461538,0,0,1,1
12/22/2017,11:00:24,25.0325,64.75,0.08,-0.092307692,0,0,1,1
12/22/2017,11:00:55,25.05,65.25,0.07,0.061538462,0,0,1,1
12/22/2017,11:01:26,25.05,65.25,0.395,0.319230769,0,0,1,1
12/22/2017,11:01:56,25.035,65.75,0.0875,0.334615385,0,0,1,1
12/22/2017,11:02:27,25.05,65.25,0.465,0.388461538,1,0,1,1
12/22/2017,11:02:58,25.05,65.25,0.16,0.480769231,1,0,1,1
12/22/2017,11:03:28,25.065,65,0.2075,0.607692308,1,0,1,1
12/22/2017,11:03:59,25.065,65,0.2075,0.719230769,1,0,1,1
12/22/2017,11:04:29,25.065,65.25,0.395,0.769230769,1,0,1,1
12/22/2017,11:05:00,25.08,65,0.1425,0.807692308,0,0,1,1
12/22/2017,11:05:31,25.08,65.25,0.0725,0.788461538,0,0,1,1
12/22/2017,11:06:01,25.08,65,0.0725,0.853846154,1,0,1,1
12/22/2017,11:06:32,25.08,65,0.19,0.903846154,0,0,1,1
12/22/2017,11:07:03,25.1125,65,0.065,0.892307692,0,0,1,1
12/22/2017,11:07:33,25.0975,64.75,0.295,0.915384615,0,0,1,1
12/22/2017,11:08:04,25.0975,64.75,0.1075,0.923076923,0,0,1,1
12/22/2017,11:08:35,25.095,65,0.0575,0.961538462,0,0,1,1
12/22/2017,11:09:05,25.08,65,0.06,1.026923077,0,0,1,1
12/22/2017,11:09:36,25.095,64.5,0.0625,1.115384615,0,0,1,1
12/22/2017,11:10:06,25.11,64.75,0.3925,1.176923077,0,0,1,1
12/22/2017,11:10:37,25.1125,65.5,0.155,1.215384615,0,0,1,1
12/22/2017,11:11:08,25.1275,65.75,0.0825,1.234615385,0,0,1,1
12/22/2017,11:11:38,25.1125,65.5,0.235,1.234615385,1,0,1,1
12/22/2017,11:12:09,25.0975,65.5,0.215,1.215384615,0,0,1,1
12/22/2017,11:12:40,25.1275,66.25,0.085,1.173076923,0,0,1,1
12/22/2017,11:13:10,25.1275,67,0.45,1.2,0,0,1,1
12/22/2017,11:13:41,25.1425,66.75,0.35,1.2,1,0,1,1
12/22/2017,11:14:12,25.1425,66.75,0.0825,1.269230769,0,0,1,1
12/22/2017,11:14:42,25.125,66.5,0.065,1.219230769,0,0,1,1
12/22/2017,11:15:13,25.1575,65.5,0.115,1.15,0,0,1,1
12/22/2017,11:15:43,25.1425,65.5,0.065,1.065384615,0,0,1,1
12/22/2017,11:16:14,25.1425,66.5,0.1475,1.019230769,1,0,1,1
12/22/2017,11:16:45,25.1425,65.75,0.14,0.965384615,0,0,1,1
12/22/2017,11:17:15,25.1575,65.75,0.3175,0.946153846,1,0,1,1
12/22/2017,11:17:46,25.1575,65.75,0.0875,0.953846154,0,0,1,1
12/22/2017,11:18:17,25.1575,65.5,0.2525,0.842307692,0,0,1,1
12/22/2017,11:18:47,25.1425,65.75,0.3125,0.946153846,0,0,1,1
12/22/2017,11:19:18,25.125,65.5,0.075,0.976923077,0,0,1,1
12/22/2017,11:19:49,25.1725,65.5,0.135,0.934615385,0,0,1,1
12/22/2017,11:20:19,25.1725,67,0.255,0.869230769,0,0,1,1
12/22/2017,11:20:50,25.1875,67.25,0.335,0.738461538,1,0,1,1
12/22/2017,11:21:20,25.1725,66.75,0.285,0.688461538,0,0,1,1
12/22/2017,11:21:51,25.1875,66,0.23,0.719230769,1,0,1,1
12/22/2017,11:22:22,25.2025,66,0.2275,0.830769231,0,0,1,1
12/22/2017,11:22:52,25.1875,65.75,0.15,0.926923077,0,0,1,1
12/22/2017,11:23:23,25.1875,66.25,0.1725,0.957692308,0,0,1,1
12/22/2017,11:23:54,25.2025,66,0.095,0.969230769,0,0,1,1
12/22/2017,11:24:24,25.2175,66.5,0.14,0.915384615,0,0,1,1
12/22/2017,11:24:55,25.2175,67.75,0.1175,0.846153846,0,0,1,1
12/22/2017,11:25:25,25.2175,68.5,0.5775,0.857692308,0,0,1,1
12/22/2017,11:25:56,25.2025,68.75,0.1275,0.903846154,1,0,1,1
12/22/2017,11:26:27,25.2175,68.25,0.1575,0.984615385,1,0,1,1
12/22/2017,11:27:28,25.2975,65.25,0.355,1.1,1,1,1,1
12/22/2017,11:27:59,25.375,65.25,0.3375,1.103846154,1,1,1,1
12/22/2017,11:28:29,25.33,112.25,0.31,1.088461538,1,1,2,1
12/22/2017,11:29:00,25.345,120.25,0.4475,1.003846154,1,1,2,1
12/22/2017,11:29:31,25.3625,125.25,0.7825,0.896153846,1,1,2,1
12/22/2017,11:30:01,25.345,127.25,0.32,0.719230769,0,1,2,1
12/22/2017,11:30:32,25.345,129.5,0.2925,0.623076923,0,1,2,1
12/22/2017,11:31:02,25.3625,130.25,0.4675,0.611538462,0,1,2,1
12/22/2017,11:31:33,25.36,130.5,0.3875,0.538461538,0,1,2,1
12/22/2017,11:32:04,25.3475,131.25,0.4725,0.646153846,1,0,2,1
12/22/2017,11:32:34,25.36,129.75,0.355,0.696153846,1,0,2,1
12/22/2017,11:33:05,25.33,130,0.1975,0.688461538,0,0,2,1
12/22/2017,11:33:36,25.3475,129.75,0.91,0.623076923,1,0,2,1
12/22/2017,11:34:06,25.3475,129.75,0.37,0.45,1,0,2,1
12/22/2017,11:34:37,25.3625,130,0.87,0.361538462,1,0,2,1
12/22/2017,11:35:08,25.3775,130.25,0.2425,0.311538462,1,0,2,1
